Date,Dataset,Predicted Price,Trend
2020-10-19,processed_ds1,33470.695,Increase
2020-10-20,processed_ds1,33274.3,Decrease
2020-10-21,processed_ds1,35943.535,Increase
2020-10-22,processed_ds1,33442.715,Decrease
2020-10-23,processed_ds1,32970.953,Decrease
2020-10-24,processed_ds1,33437.863,Increase
2020-10-25,processed_ds1,32949.72,Decrease
2020-10-26,processed_ds1,33164.094,Increase
2020-10-27,processed_ds1,34715.457,Increase
2020-10-28,processed_ds1,32631.291,Decrease
2020-10-29,processed_ds1,33566.383,Increase
2020-10-30,processed_ds1,33390.664,Decrease
2020-10-31,processed_ds1,33735.21,Increase
2020-11-01,processed_ds1,33089.137,Decrease
2020-11-02,processed_ds1,32868.76,Decrease
2020-11-03,processed_ds1,34332.62,Increase
2020-11-04,processed_ds1,33541.203,Decrease
2020-11-05,processed_ds1,37490.28,Increase
2020-11-06,processed_ds1,33510.402,Decrease
2020-11-07,processed_ds1,32495.395,Decrease
2020-11-08,processed_ds1,35074.836,Increase
2020-11-09,processed_ds1,33308.668,Decrease
2020-11-10,processed_ds1,33362.113,Increase
2020-11-11,processed_ds1,34308.33,Increase
2020-11-12,processed_ds1,34953.598,Increase
2020-11-13,processed_ds1,33624.332,Decrease
2020-11-14,processed_ds1,33172.15,Decrease
2020-11-15,processed_ds1,33307.723,Increase
2020-11-16,processed_ds1,35487.098,Increase
2020-11-17,processed_ds1,36115.523,Increase
2020-11-18,processed_ds1,34188.496,Decrease
2020-11-19,processed_ds1,33901.562,Decrease
2020-11-20,processed_ds1,35943.336,Increase
2020-11-21,processed_ds1,33965.65,Decrease
2020-11-22,processed_ds1,33626.227,Decrease
2020-11-23,processed_ds1,33881.387,Increase
2020-11-24,processed_ds1,35838.53,Increase
2020-11-25,processed_ds1,33463.95,Decrease
2020-11-26,processed_ds1,32429.855,Decrease
2020-11-27,processed_ds1,33741.32,Increase
2020-11-28,processed_ds1,35158.633,Increase
2020-11-29,processed_ds1,34801.367,Decrease
2020-11-30,processed_ds1,37696.58,Increase
2020-12-01,processed_ds1,33042.953,Decrease
2020-12-02,processed_ds1,34990.92,Increase
